datetime,date,open,high,low,close,volume,amount,symbol,interval,provider,adjust,market
2025-06-16 00:00:00,2025-06-16,3369.366,3389.756,3368.876,3388.729,40538327800,137373407027366.19,sh000001,1d,akshare,,CN
2025-06-17 00:00:00,2025-06-17,3388.18,3393.313,3376.42,3387.405,39001244700,132113011303003.5,sh000001,1d,akshare,,CN
2025-06-18 00:00:00,2025-06-18,3386.136,3391.709,3369.986,3388.809,37868489100,128329076678481.9,sh000001,1d,akshare,,CN
2025-06-19 00:00:00,2025-06-19,3384.293,3386.919,3353.936,3362.108,41532765500,139637643149674.0,sh000001,1d,akshare,,CN
2025-06-20 00:00:00,2025-06-20,3358.913,3370.798,3357.706,3359.895,35022366200,117671473083549.0,sh000001,1d,akshare,,CN
2025-06-23 00:00:00,2025-06-23,3349.46,3389.452,3347.651,3381.582,38456139700,130042589799005.39,sh000001,1d,akshare,,CN
2025-06-24 00:00:00,2025-06-24,3380.08,3423.784,3380.08,3420.566,46096380000,157675710151080.0,sh000001,1d,akshare,,CN
2025-06-25 00:00:00,2025-06-25,3419.091,3459.009,3417.411,3455.974,50938406400,176041808119833.6,sh000001,1d,akshare,,CN
2025-06-26 00:00:00,2025-06-26,3451.719,3462.752,3446.186,3448.453,49654107700,171229856660388.1,sh000001,1d,akshare,,CN
2025-06-27 00:00:00,2025-06-27,3450.686,3462.627,3421.04,3424.227,52312943200,179131392554906.4,sh000001,1d,akshare,,CN
2025-06-30 00:00:00,2025-06-30,3423.474,3447.46,3420.112,3444.426,45734804900,157530151102487.4,sh000001,1d,akshare,,CN
2025-07-01 00:00:00,2025-07-01,3445.846,3459.587,3441.038,3457.747,44435673900,153647318120703.28,sh000001,1d,akshare,,CN
2025-07-02 00:00:00,2025-07-02,3458.171,3461.328,3447.956,3454.792,49811677600,172088985279059.2,sh000001,1d,akshare,,CN
2025-07-03 00:00:00,2025-07-03,3456.152,3463.62,3446.974,3461.151,43854346500,151786515242821.5,sh000001,1d,akshare,,CN
2025-07-04 00:00:00,2025-07-04,3459.592,3497.225,3455.494,3472.319,50019521000,173683733139199.0,sh000001,1d,akshare,,CN
2025-07-07 00:00:00,2025-07-07,3467.985,3474.801,3462.792,3473.127,43663134000,151647609600018.0,sh000001,1d,akshare,,CN
